illian,migrt
1202452,20190610
1203814,20190515
1207759,20190611
1208771,20190801
1211514,20190703
1218282,20190608
1227546,20190801
1231185,20190519
1231607,20190726
1231841,20190711
1233162,20190601
1234078,20190608
1248371,20190810
1248425,20190707
1252389,20190610
1252717,20190701
1253748,20190707
1254402,20190708
1268798,20190615
1271427,20190805
1278728,20190525
1279982,20190511
1283555,20190615
1285016,20190701
1298501,20190801
1306588,20190601
1317704,20190801
1323493,20190805
1324521,20190725
1325458,20190813
1327429,20190714
1330089,20190510
1330785,20190609
1331911,20190701
1332150,20190801
1332888,20190808
1338547,20190618
1340256,20190601
1345793,20190519
1346288,20190801
1351979,20190615
1353187,20190718
1357148,20190608
1362449,20190705
1365055,20190808
1365610,20190501
1366851,20190610
1367415,20190801
1369893,20190712
1375846,20190601
1379172,20190605
1387615,20190517
1388392,20190601
1391261,20190705
1394321,20190703
1400807,20190707
1404189,20190702
1407548,20190701
1410343,20190701
1410933,20190701
1418701,20190601
1420635,20190802
1427277,20190601
1429325,20190603
1430343,20190715
1439710,20190603
1440309,20190511
1442374,20190801
1442859,20190725
1448275,20190801
1450959,20190808
1451088,20190707
1455106,20190601
1467298,20190617
1474437,20190801
1477232,20190701
1477790,20190526
1479485,20190601
1480435,20190724
1482958,20190701
1484729,20190707
1488504,20190612
1489849,20190701
1490337,20190724
1492474,20190717
1494576,20190605
1494593,20190801
1496532,20190601
1509366,20190703
1522987,20190607
1523195,20190507
1526580,20190802
1527254,20190717
1533244,20190801
1533457,20190803
1534050,20190527
1538198,20190707
1539158,20190701
1540131,20190802
1540634,20190605
1542160,20190614
1543671,20190601
1545480,20190602
1545681,20190612
1548066,20190604
1550195,20190626
1556376,20190702
1563746,20190714
1563848,20190628
1570375,20190609
1573684,20190711
1574938,20190624
1578049,20190706
1580233,20190508
1580582,20190724
1581867,20190801
1583457,20190611
1585103,20190815
1586770,20190716
1587091,20190603
1589581,20190819
1591309,20190613
1594183,20190731
1597732,20190623
1599133,20190601
1600937,20190806
1601423,20190623
1604676,20190601
1605168,20190601
1613793,20190601
1621375,20190516
1636158,20190801
1638208,20190701
1641466,20190701
1642066,20190623
1648026,20190704
1649153,20190710
1650622,20190710
1665724,20190526
1667645,20190507
1668638,20190601
1669874,20190707
1675028,20190807
1676193,20190703
1682306,20190627
1682536,20190701
1692991,20190519
1698866,20190606
1707375,20190701
1707502,20190701
1708788,20190525
1713677,20190608
1718433,20190801
1723281,20190530
1727461,20190514
1728330,20190802
1730956,20190811
1735802,20190801
1736887,20190713
1742576,20190601
1751054,20190705
1758394,20190706
1758622,20190619
1761171,20190621
1764061,20190717
1765895,20190701
1774449,20190601
1780695,20190703
1783135,20190704
1785136,20190602
1785852,20190529
1786288,20190603
1793463,20190614
1808233,20190714
1811606,20190613
1817582,20190801
1826160,20190728
1829413,20190802
1838847,20190802
1840362,20190809
1841375,20190609
1842496,20190602
1844046,20190721
1844506,20190507
1854147,20190501
1864977,20190701
1865113,20190616
1869253,20190702
1869676,20190611
1870126,20190504
1871710,20190708
1872719,20190622
1875781,20190709
1878296,20190801
1879291,20190612
1881074,20190807
1882658,20190818
1882658,20190818
1883882,20190722
1886167,20190528
1887899,20190701
1897064,20190601
1898426,20190519
1904155,20190604
1920965,20190502
1922060,20190801
1928187,20190721
1929334,20190601
1929936,20190623
1932034,20190627
1940086,20190728
1940246,20190613
1949658,20190606
1951312,20190603
1952501,20190701
1955043,20190801
1957481,20190610
1959887,20190702
1961361,20190601
1962570,20190804
1963651,20190716
1968244,20190521
1973919,20190821
1979756,20190602
1982201,20190807
1988298,20190723
1989487,20190801
2002465,20190718
2007310,20190521
2007776,20190709
2009055,20190716
2013296,20190801
2026231,20190605
2026301,20190701
2028263,20190712
2029603,20190801
2030596,20190812
2046261,20190810
2046658,20190604
2057579,20190702
2061342,20190603
2062799,20190709
2065015,20190615
2071631,20190703
2072699,20190809
2078350,20190629
2080011,20190602
2080978,20190514
2088372,20190701
2089320,20190616
2090298,20190724
2090457,20190709
2092212,20190520
2095648,20190601
2101238,20190720
2102110,20190620
2104321,20190701
2108221,20190603
2112266,20190701
2113304,20190801
2129605,20190601
2130139,20190525
2134045,20190725
2137548,20190707
2139078,20190702
2140172,20190709
2142428,20190704
2143741,20190818
2145381,20190627
2146123,20190720
2148473,20190520
2152040,20190720
2168682,20190802
2181104,20190618
2181816,20190602
2182744,20190602
2183119,20190713
2189784,20190715
2191019,20190601
2195383,20190522
2197334,20190808
2209735,20190526
2209995,20190601
2212378,20190528
2214036,20190601
2215281,20190701
2218071,20190818
2219516,20190812
2220919,20190602
2221830,20190701
2222041,20190706
2224786,20190704
2226299,20190702
2233531,20190621
2241702,20190701
2248246,20190704
2249519,20190603
2249663,20190701
2250866,20190726
2254417,20190606
2255394,20190603
2255395,20190518
2257940,20190709
2266756,20190801
2270677,20190705
2271234,20190701
2273647,20190601
2274318,20190530
2287121,20190702
2299309,20190708
2311040,20190704
2328041,20190704
2329896,20190809
2330192,20190801
2333474,20190701
2338824,20190622
2338839,20190701
2339826,20190702
2342719,20190712
2344721,20190713
2348439,20190629
2348465,20190708
2354733,20190801
2364588,20190509
2364626,20190508
2369357,20190701
2377431,20190610
2379618,20190508
2380982,20190817
2383466,20190804
2383467,20190801
2390009,20190803
2393958,20190626
2398712,20190526
2401441,20190601
2403717,20190701
2405856,20190701
2412251,20190720
2414090,20190601
2425187,20190622
2427860,20190703
2434672,20190604
2436270,20190615
2438228,20190801
2445018,20190601
2446953,20190801
2447604,20190701
2448630,20190803
2458835,20190801
2458842,20190701
2463517,20190719
2464477,20190516
2467732,20190601
2468786,20190701
2472307,20190810
2473807,20190602
2476013,20190801
2477250,20190604
2478262,20190705
2480773,20190601
2482055,20190826
2483671,20190601
2492673,20190601
2498128,20190801
2500628,20190701
2503294,20190603
2504902,20190703
2508026,20190807
2508274,20190715
2514702,20190801
2524321,20190612
2526892,20190801
2533234,20190801
2535035,20190531
2535183,20190620
2542074,20190618
2544556,20190714
2552445,20190701
2554443,20190616
2559219,20190701
2561477,20190701
2568655,20190601
2579363,20190801
2580756,20190715
2583700,20190702
2588728,20190605
2590042,20190725
2590264,20190801
2591836,20190810
2597475,20190724
2601785,20190608
2608889,20190801
2611809,20190603
2611973,20190801
2615772,20190605
2616593,20190518
2633336,20190609
2635128,20190704
2636087,20190611
2636593,20190719
2638295,20190725
2642434,20190601
2650964,20190801
2651503,20190606
2652107,20190701
2660291,20190811
2665564,20190803
2668359,20190814
2669201,20190705
2673513,20190521
2675613,20190626
2679865,20190701
2683155,20190706
2690554,20190711
2692087,20190729
2695764,20190701
2698123,20190703
2706637,20190707
2709435,20190802
2710496,20190526
2711430,20190628
2711696,20190706
2714958,20190703
2717643,20190603
2723926,20190711
2724943,20190720
2726538,20190819
2731583,20190811
2735178,20190518
2738611,20190707
2739257,20190804
2739614,20190629
2739847,20190601
2748545,20190609
2749726,20190617
2758208,20190601
2761557,20190801
2765672,20190531
2766324,20190729
2769576,20190529
2778458,20190601
2783653,20190704
2790264,20190701
2790936,20190623
2798405,20190530
2799745,20190725
2804130,20190607
2807587,20190801
2809744,20190723
2826342,20190623
2826701,20190723
2827885,20190803
2832819,20190701
2835122,20190811
2836302,20190601
2840378,20190817
2840630,20190702
2842793,20190801
2846768,20190501
2864957,20190613
2865334,20190701
2867101,20190616
2871342,20190522
2871417,20190801
2872767,20190806
2875898,20190505
2876341,20190609
2878586,20190702
2889231,20190601
2897161,20190801
2897479,20190609
2899829,20190801
2906563,20190701
2908470,20190721
2913979,20190713
2914560,20190801
2921922,20190601
2923537,20190805
2932306,20190606
2934147,20190730
2935298,20190727
2938297,20190818
2938687,20190702
2939151,20190801
2946504,20190717
2949431,20190801
2953633,20190713
2957768,20190703
2966666,20190607
2969544,20190616
2977938,20190703
2986639,20190601
2995995,20190603
2996573,20190512
2997387,20190705
3003154,20190817
3006219,20190701
3012137,20190511
3012174,20190704
3012502,20190623
3013457,20190529
3014940,20190616
3022582,20190702
3023891,20190707
3024081,20190806
3027804,20190616
3031738,20190525
3032768,20190801
3034223,20190711
3036333,20190630
3038822,20190531
3048369,20190725
3049946,20190609
3052826,20190804
3055378,20190701
3061710,20190801
3068375,20190625
3072099,20190701
3072320,20190722
3080104,20190709
3085475,20190815
3087457,20190605
3092101,20190810
3095407,20190714
3099488,20190702
3111364,20190701
3116882,20190602
3119289,20190814
3123484,20190511
3123491,20190801
3133285,20190802
3135558,20190601
3136106,20190628
3138272,20190703
3146170,20190701
3150242,20190601
3168709,20190714
3174606,20190801
3180381,20190719
3183553,20190601
3190362,20190604
3196929,20190629
3212669,20190701
3215580,20190601
3223060,20190628
3224805,20190520
3232988,20190523
3237066,20190708
3242587,20190701
3251207,20190722
3252184,20190603
3260504,20190722
3261267,20190716
3264653,20190603
3265636,20190701
3266616,20190805
3272571,20190709
3273493,20190715
3276253,20190605
3281583,20190701
3284622,20190704
3287092,20190703
3294020,20190801
3295474,20190806
3299672,20190601
3304159,20190719
3314497,20190603
3314571,20190701
3317065,20190601
3332417,20190603
3333174,20190519
3339423,20190526
3344303,20190701
3344810,20190723
3345965,20190706
3346433,20190717
3349493,20190728
3351179,20190602
3351412,20190717
3353139,20190801
3354150,20190811
3358238,20190706
3359444,20190714
3362354,20190804
3363377,20190805
3367537,20190707
3370819,20190802
3372596,20190604
3374042,20190815
3377644,20190815
3382036,20190527
3384449,20190801
3385960,20190715
3390733,20190602
3391226,20190516
3399621,20190713
3400478,20190801
3402511,20190801
3407806,20190601
3409208,20190713
3412310,20190801
3413887,20190801
3417076,20190801
3420199,20190801
3425208,20190627
3429158,20190730
3429898,20190704
3435602,20190801
3435918,20190801
3438102,20190718
3440298,20190801
3442178,20190527
3450418,20190501
3453719,20190601
3455240,20190602
3456881,20190625
3474122,20190729
3478856,20190801
3479044,20190801
3483302,20190807
3492454,20190608
3494077,20190502
3499939,20190702
3501251,20190624
3504268,20190717
3507056,20190601
3509684,20190726
3510390,20190801
3514656,20190801
3523106,20190801
3525787,20190602
3527717,20190509
3529358,20190603
3540026,20190620
3541322,20190708
3542654,20190708
3542940,20190705
3543024,20190805
3544053,20190505
3546080,20190601
3549549,20190701
3550172,20190802
3552109,20190713
3583461,20190701
3584963,20190601
3591672,20190724
3592402,20190601
3592734,20190712
3595839,20190626
3598725,20190721
3599180,20190801
3600084,20190715
3601013,20190701
3610502,20190714
3613143,20190525
3614763,20190804
3614773,20190603
3614853,20190812
3615769,20190616
3615880,20190622
3618268,20190607
3618589,20190721
3619635,20190601
3621233,20190702
3631369,20190805
3637044,20190513
3637260,20190601
3645269,20190803
3652766,20190601
3652940,20190802
3652964,20190713
3658045,20190701
3663175,20190601
3671821,20190701
3677488,20190506
3688551,20190601
3689053,20190506
3691256,20190608
3692149,20190616
3698179,20190702
3705611,20190715
3707577,20190701
3710990,20190818
3711600,20190702
3721384,20190601
3721894,20190601
3723434,20190610
3724643,20190703
3726644,20190528
3728682,20190603
3749875,20190608
3754454,20190719
3757288,20190531
3770841,20190601
3774595,20190730
3777830,20190709
3778702,20190602
3792548,20190803
3793461,20190726
3796886,20190726
3798202,20190702
3798210,20190604
3803542,20190615
3804208,20190816
3804707,20190727
3811090,20190702
3825452,20190702
3827340,20190606
3830083,20190523
3849491,20190608
3860530,20190701
3862574,20190517
3864887,20190708
3871214,20190601
3881746,20190601
3882299,20190608
3888506,20190702
3889423,20190725
3893481,20190612
3894816,20190501
3910441,20190606
3911568,20190801
3911975,20190518
3915318,20190701
3919689,20190704
3932007,20190527
3933784,20190804
3935174,20190612
3939501,20190814
3943162,20190802
3946001,20190607
3947498,20190611
3952816,20190707
3956288,20190602
3966603,20190526
3980268,20190603
3980505,20190528
3984937,20190813
3987865,20190601
3989376,20190726
3994804,20190728
3998601,20190714
4001865,20190601
4005762,20190805
4007018,20190804
4013224,20190802
4013920,20190530
4014574,20190802
4017484,20190625
4020396,20190602
4022737,20190603
4025753,20190721
4030067,20190722
4030427,20190705
4033157,20190605
4034208,20190610
4035682,20190711
4046764,20190708
4051841,20190719
4053334,20190601
4057766,20190526
4069994,20190701
4070776,20190507
4072980,20190716
4081266,20190706
4081315,20190811
4086927,20190709
4087565,20190603
4088203,20190803
4089136,20190702
4090392,20190601
4091347,20190810
4096345,20190701
4096524,20190617
4097387,20190701
4097691,20190707
4099956,20190501
4104616,20190709
4106327,20190708
4108397,20190526
4111365,20190801
4114926,20190601
4121319,20190801
4121611,20190701
4124651,20190605
4138358,20190501
4141389,20190808
4142485,20190526
4145411,20190804
4147448,20190727
4149610,20190601
4152644,20190604
4153931,20190526
4162418,20190727
4165206,20190801
4165321,20190721
4165978,20190630
4168239,20190613
4169941,20190602
4172463,20190611
4174983,20190701
4179289,20190618
4179941,20190701
4195785,20190531
4196856,20190716
4198853,20190602
4200260,20190803
4201268,20190712
4203210,20190601
4214764,20190731
4216522,20190622
4216972,20190601
4218038,20190530
4223797,20190801
4224633,20190601
4227412,20190801
4229118,20190614
4232213,20190804
4239782,20190605
4241023,20190601
4244650,20190501
4250952,20190720
4253503,20190604
4259726,20190610
4271077,20190706
4271380,20190608
4277536,20190607
4283178,20190602
4289177,20190801
4289979,20190801
4291815,20190711
4293890,20190804
4297807,20190604
4297926,20190701
4303503,20190727
4307106,20190801
4326888,20190813
4329958,20190528
4333259,20190703
4341257,20190701
4347722,20190804
4353038,20190707
4354280,20190702
4356546,20190709
4359867,20190607
4365452,20190601
4366386,20190801
4367538,20190728
4367957,20190803
4375202,20190526
4375202,20190526
4378276,20190816
4378721,20190801
4381115,20190705
4392041,20190710
4394018,20190819
4401798,20190619
4410283,20190628
4411114,20190529
4413871,20190531
4415651,20190501
4424102,20190701
4425555,20190706
4427418,20190801
4428563,20190723
4430665,20190727
4432940,20190701
4435473,20190708
4436202,20190702
4437230,20190617
4437361,20190518
4442491,20190510
4444627,20190609
4444830,20190716
4450327,20190601
4452261,20190713
4453176,20190602
4453299,20190727
4455827,20190601
4460576,20190804
4461130,20190502
4464746,20190604
4468524,20190605
4470672,20190602
4472434,20190604
4473235,20190707
4475710,20190701
4477256,20190616
4477781,20190801
4478564,20190701
4482060,20190801
4489976,20190708
4489998,20190801
4490197,20190622
4491846,20190704
4493914,20190727
4499567,20190801
4501743,20190802
4506881,20190810
4508187,20190811
4514224,20190801
4516640,20190725
4518158,20190702
4520659,20190721
4528548,20190623
4535728,20190707
4541207,20190801
4549726,20190703
4552589,20190801
4559327,20190521
4571488,20190708
4571526,20190607
4572193,20190827
4585275,20190720
4593813,20190719
4597236,20190608
4598860,20190526
4600881,20190601
4603803,20190802
4604483,20190801
4605846,20190802
4608520,20190604
4613423,20190701
4613445,20190604
4613644,20190729
4614313,20190701
4621836,20190719
4621975,20190801
4626378,20190806
4631216,20190716
4632261,20190803
4640455,20190603
4645411,20190811
4645537,20190701
4647022,20190717
4650352,20190802
4651050,20190615
4656228,20190803
4668970,20190701
4671541,20190713
4672740,20190610
4675678,20190804
4680793,20190811
4681203,20190708
4687014,20190730
4687763,20190801
4689820,20190801
4690221,20190521
4692373,20190601
4694463,20190704
4697556,20190601
4717957,20190801
4719725,20190601
4721411,20190805
4721665,20190810
4727331,20190606
4731742,20190714
4733400,20190711
4739152,20190701
4739629,20190622
4740639,20190803
4740890,20190708
4743036,20190814
4745284,20190623
4746278,20190502
4746937,20190713
4748751,20190801
4750308,20190718
4752403,20190610
4753115,20190601
4753587,20190730
4756489,20190716
4759388,20190607
4761457,20190701
4766167,20190801
4766883,20190714
4774513,20190726
4775516,20190701
4779609,20190606
4781528,20190813
4786008,20190801
4786515,20190809
4798274,20190708
4801695,20190603
4804153,20190816
4808485,20190601
4808782,20190702
4810663,20190503
4811374,20190506
4812915,20190803
4815800,20190807
4817389,20190505
4818213,20190706
4818453,20190709
4820332,20190701
4822488,20190703
4823652,20190705
4829650,20190601
4829653,20190501
4834366,20190702
4843938,20190601
4849810,20190811
4851839,20190605
4852418,20190515
4853734,20190601
4857799,20190513
4860647,20190801
4865586,20190528
4868585,20190807
4871231,20190730
4871930,20190810
4874621,20190710
4878677,20190727
4880111,20190801
4883886,20190817
4887680,20190704
4887724,20190709
4889005,20190731
4892308,20190513
4894350,20190604
4911228,20190721
4921314,20190709
4922787,20190612
4923406,20190601
4924322,20190702
4925682,20190809
4925835,20190801
4928851,20190703
4930365,20190601
4933948,20190621
4936312,20190701
4936990,20190623
4938654,20190812
4949376,20190603
4951797,20190707
4954554,20190607
4958820,20190603
4960922,20190606
4965182,20190701
4970769,20190705
4972262,20190803
4972840,20190608
4975553,20190628
4976162,20190629
4984078,20190526
4985298,20190813
4996682,20190712
5009233,20190701
5011717,20190713
5015277,20190519
5017368,20190701
5019702,20190701
5032786,20190705
5032795,20190727
5036040,20190706
5037335,20190527
5039603,20190601
5053631,20190703
5059926,20190701
5061222,20190710
5062885,20190716
5067377,20190621
5067415,20190605
5067740,20190714
5083046,20190718
5087589,20190701
5088460,20190810
5096400,20190707
5096836,20190705
5108716,20190509
5114179,20190704
5125078,20190711
5126199,20190629
5133515,20190709
5134363,20190709
5134492,20190701
5135591,20190604
5141898,20190713
5143987,20190601
5145594,20190715
5150250,20190601
5154411,20190801
5159041,20190520
5165952,20190604
5166058,20190603
5168879,20190607
5173284,20190716
5174522,20190601
5179351,20190719
5180451,20190721
5185375,20190601
5187082,20190608
5187366,20190629
5190981,20190707
5199851,20190703
5206175,20190601
5207397,20190707
5217772,20190610
5219241,20190711
5220221,20190616
5226904,20190712
5228309,20190612
5232656,20190601
5232880,20190702
5236376,20190615
5237825,20190801
5243862,20190607
5252054,20190811
5259118,20190715
5268651,20190701
5271790,20190706
5276812,20190601
5277175,20190801
5283232,20190805
5283528,20190710
5287199,20190612
5290177,20190705
5293104,20190714
5295660,20190801
5295750,20190707
5296351,20190606
5299667,20190714
5301084,20190521
5303808,20190505
5309274,20190701
5310942,20190801
5312702,20190803
5316127,20190601
5327334,20190711
5329397,20190613
5333434,20190803
5339697,20190521
5347282,20190627
5349563,20190602
5349608,20190611
5349847,20190701
5355226,20190710
5359036,20190701
5366497,20190608
5367014,20190727
5370628,20190710
5376125,20190703
5377769,20190601
5395662,20190719
5396589,20190803
5396831,20190608
5397219,20190820
5400647,20190703
5405735,20190801
5416358,20190701
5416801,20190601
5417218,20190801
5421974,20190622
5432216,20190714
5434809,20190608
5443202,20190601
5443991,20190606
5450081,20190801
5451134,20190803
5451224,20190801
5456703,20190710
5456862,20190625
5458304,20190622
5466287,20190501
5469832,20190726
5472201,20190509
5474849,20190801
5478180,20190803
5488268,20190601
5498653,20190521
5505782,20190721
5507738,20190607
5510965,20190701
5511776,20190804
5516905,20190604
5519880,20190730
5521680,20190613
5524923,20190507
5525784,20190809
5537441,20190701
5538717,20190701
5539576,20190701
5548040,20190601
5550666,20190602
5550776,20190707
5551545,20190801
5555445,20190704
5556281,20190706
5560764,20190601
5561828,20190701
5563968,20190622
5564168,20190618
5587048,20190801
5587867,20190601
5592344,20190601
5593155,20190511
5593861,20190822
5604065,20190722
5604870,20190601
5613191,20190604
5625471,20190530
5627813,20190701
5632083,20190703
5634926,20190701
5639336,20190716
5647801,20190703
5650117,20190801
5652493,20190601
5655316,20190704
5655968,20190701
5660266,20190805
5661391,20190802
5664286,20190723
5669323,20190527
5675476,20190701
5675853,20190509
5677425,20190804
5685534,20190707
5687644,20190810
5712427,20190801
5717661,20190801
5722104,20190801
5743057,20190709
5745873,20190703
5753142,20190816
5753894,20190523
5754686,20190704
5763027,20190708
5766222,20190803
5767136,20190611
5771486,20190701
5774529,20190602
5777715,20190601
5778206,20190505
5778775,20190801
5780927,20190601
5781705,20190703
5783020,20190703
5784462,20190703
5785286,20190602
5787599,20190801
5790232,20190601
5792274,20190520
5793727,20190701
5802056,20190817
5808127,20190514
5808582,20190702
5816611,20190713
5825546,20190526
5825827,20190808
5835551,20190616
5839365,20190714
5844016,20190627
5847142,20190713
5847324,20190720
5857239,20190820
5858161,20190819
5860741,20190725
5868084,20190621
5876502,20190801
5876873,20190701
5877566,20190701
5879320,20190601
5884557,20190704
5885238,20190708
5890026,20190601
5895663,20190802
5898627,20190615
5903782,20190709
5905369,20190519
5908150,20190801
5910687,20190727
5916134,20190702
5938846,20190801
5939894,20190603
5941505,20190711
5950882,20190723
5952234,20190704
5971263,20190703
5972006,20190528
5974091,20190701
5979548,20190702
5982312,20190601
5991136,20190606
5991451,20190702
5996990,20190801
5997614,20190531
6005067,20190602
6005848,20190613
6006022,20190604
6006859,20190801
6020582,20190803
6022790,20190811
6024537,20190701
6026001,20190801
6036451,20190601
6038569,20190702
6043136,20190501
6043985,20190601
6045260,20190801
6045667,20190506
6050949,20190701
6071595,20190601
6075883,20190602
6076097,20190519
6077521,20190706
6081763,20190702
6085272,20190603
6087674,20190518
6089039,20190805
6089141,20190607
6094592,20190601
6101333,20190810
6107195,20190705
6110582,20190801
6112623,20190701
6118679,20190615
6122133,20190531
6128404,20190626
6130288,20190728
6131275,20190601
6131340,20190601
6132219,20190526
6134723,20190703
6149296,20190801
6156485,20190609
6161928,20190609
6162146,20190801
6165096,20190701
6167814,20190603
6169061,20190515
6172729,20190710
6172867,20190721
6174751,20190702
6178636,20190709
6179272,20190728
6193107,20190701
6193196,20190801
6194418,20190525
6196457,20190609
6198072,20190804
6198969,20190701
6201499,20190619
6204612,20190625
6210076,20190802
6212269,20190801
6213710,20190801
6214717,20190502
6215126,20190603
6219383,20190614
6219829,20190713
6220325,20190714
6223001,20190815
6226719,20190706
6229761,20190730
6231012,20190701
6232323,20190615
6239342,20190701
6241019,20190629
6244855,20190615
6260938,20190606
6261989,20190604
6270468,20190727
6284209,20190811
6292990,20190518
6298650,20190713
6300736,20190703
6307997,20190704
6318323,20190716
6332413,20190701
6333513,20190619
6340371,20190809
6346072,20190718
6357985,20190605
6362105,20190803
6365532,20190602
6370748,20190703
6371083,20190724
6371139,20190720
6373935,20190619
6375287,20190702
6376011,20190701
6376351,20190517
6377003,20190721
6380034,20190701
6380521,20190715
6381249,20190615
6382140,20190721
6387077,20190701
6387800,20190728
6389961,20190810
6390895,20190601
6391822,20190817
6392721,20190518
6395390,20190601
6402308,20190725
6402540,20190614
6403962,20190702
6406522,20190712
6407607,20190618
6431195,20190809
6432258,20190601
6434174,20190703
6438695,20190710
6440506,20190707
6450437,20190801
6452332,20190709
6454407,20190704
6454432,20190703
6460790,20190803
6466185,20190702
6472990,20190513
6473874,20190801
6477738,20190503
6479215,20190723
6479602,20190725
6481356,20190701
6481623,20190606
6484979,20190601
6486276,20190601
6491368,20190601
6492903,20190701
6493289,20190716
6493542,20190601
6493791,20190722
6496152,20190617
6501361,20190802
6508070,20190606
6510296,20190803
6513357,20190518
6518115,20190802
6518268,20190717
6520054,20190704
6521591,20190803
6524051,20190803
6529608,20190530
6540788,20190701
6546120,20190802
6547092,20190601
6547565,20190602
6548037,20190730
6562451,20190704
6564626,20190726
6573282,20190803
6582841,20190601
6582958,20190703
6583111,20190601
6585040,20190724
